tag,patterns,responses,content
L2900, There wasn't a fire.  There'll be nothing for you to do., I can watch you Eddie.  Maybe I'll learn something.,
L2899, I'll come with you., There wasn't a fire.  There'll be nothing for you to do.,
L2897, Or Czechoslovakia.  The Slavs have been fighting the Germans and the Russians for a thousand years.  These are very intense people and they take things personally., I'll come with you.,
L2896, Eastern Europe.  Like what?  Romania? Hungary?, Or Czechoslovakia.  The Slavs have been fighting the Germans and the Russians for a thousand years.  These are very intense people and they take things personally.,
L2895, Maybe it's a ritual thing or someone trying to send a message.  Burial rites are taken very seriously in Eastern Europe.  It could be to humiliate them. Just burning them up no proper funeral it's like condemning them to hell., Eastern Europe.  Like what?  Romania? Hungary?,
L2893, Look I'm not even sure she has anything to do with this.  I saw her outside after the fire - thought it was a lead. Maybe she saw something.  Maybe she was visiting somebody here.  Who knows?, Maybe it's a ritual thing or someone trying to send a message.  Burial rites are taken very seriously in Eastern Europe.  It could be to humiliate them. Just burning them up no proper funeral it's like condemning them to hell.,
L2892, What would you call her?, Look I'm not even sure she has anything to do with this.  I saw her outside after the fire - thought it was a lead. Maybe she saw something.  Maybe she was visiting somebody here.  Who knows?,
L2891, Who says she's a suspect?, What would you call her?,
L2890, Maybe you don't care about that either.  Prettiest suspect I've had in awhile., Who says she's a suspect?,
L2889, Hmmmm., Maybe you don't care about that either.  Prettiest suspect I've had in awhile.,
L2888, Pretty., Hmmmm.,
L2887, The Super said he'd seen her before but she didn't live here., Pretty.,
L2886, You were right they were both dead before the fire.  The male was stabbed so hard the killer broke off the tip of the knife in his spine.  That's usually an indicator of something personal., The Super said he'd seen her before but she didn't live here.,
L2885, If you found me steppin' on your crime scene - it might piss you off too.  What about the report?, You were right they were both dead before the fire.  The male was stabbed so hard the killer broke off the tip of the knife in his spine.  That's usually an indicator of something personal.,
L2884, Sure.  But I would like to ask you something.  You got a problem with me?, If you found me steppin' on your crime scene - it might piss you off too.  What about the report?,
L2883, Did you get a report from the M.E.?, Sure.  But I would like to ask you something.  You got a problem with me?,
L2882, Good.  Good.  Commendable., Did you get a report from the M.E.?,
L2881, I don't even watch TV., Good.  Good.  Commendable.,
L2880, Nah why should you?, I don't even watch TV.,
L2879, Well just so you know I don't care about that stuff., Nah why should you?,
L2878, Well just so you know.  I gave you guys the credit., Well just so you know I don't care about that stuff.,
L2877, Nah I musta missed it., Well just so you know.  I gave you guys the credit.,
L2876, Watch the news?, Nah I musta missed it.,
L2875, It's your crime scene now.  You can do what you want., Watch the news?,
L2748, Why don't you explain it Bobby.  Hey Camello!  You mind punching a hole in the floor?, It's your crime scene now.  You can do what you want.,
L2747, No what is it?, Why don't you explain it Bobby.  Hey Camello!  You mind punching a hole in the floor?,
L2746, You know what that is right?, No what is it?,
L2731, No we don't mind.  You mind Leon?, You know what that is right?,
L2730, Hey that's great you guys got it all wrapped up but you don't mind if we go through the routine?  It gives us somethin' to do., No we don't mind.  You mind Leon?,
L3249, Smarter than Americans.  You're fed cry baby talk shows all day long.  Not only will Americans believe me they'll cry for me.  So...Detective Eddie Flemming would you like to say goodbye to your Nicolette? Maybe you can propose to her now?, Hey that's great you guys got it all wrapped up but you don't mind if we go through the routine?  It gives us somethin' to do.,
L3248, You really think you'll be able to fool a jury with this bullshit?  How fuckin' stupid are you?, Smarter than Americans.  You're fed cry baby talk shows all day long.  Not only will Americans believe me they'll cry for me.  So...Detective Eddie Flemming would you like to say goodbye to your Nicolette? Maybe you can propose to her now?,
L3244, If you kill me and film it you're putting a noose around your neck., You really think you'll be able to fool a jury with this bullshit?  How fuckin' stupid are you?,
L3243, So tabloids don't have to do re enactments.  They going to have real movie this time., If you kill me and film it you're putting a noose around your neck.,
L3242, Good - be tough to the end.  Actor who plays you will want to die like hero., So tabloids don't have to do re enactments.  They going to have real movie this time.,
L3241, Then do it asshole., Good - be tough to the end.  Actor who plays you will want to die like hero.,
L3240, I kill someone famous., Then do it asshole.,
L3239, What's your accomplishment., I kill someone famous.,
L3238, Your opinion.  You see they going to make a movie about me too Eddie.  And write books., What's your accomplishment.,
L3237, What do you want?, Your opinion.  You see they going to make a movie about me too Eddie.  And write books.,
L3236, So...who's Nicky?, What do you want?,
L3157, Don't be late., So...who's Nicky?,
L3156, Thank you., Don't be late.,
L3155, See you later.  Good luck., Thank you.,
L3154, Okay., See you later.  Good luck.,
L3153, Yeah yeah.  Good thing., Okay.,
L3152, Okay.  And you know what I'll swing by my place grab a couple pairs of shoes and maybe just test them out next to yours...How's that... Would that be a good thing., Yeah yeah.  Good thing.,
L3151, Yeah.  I promise., Okay.  And you know what I'll swing by my place grab a couple pairs of shoes and maybe just test them out next to yours...How's that... Would that be a good thing.,
L3150, You promise?, Yeah.  I promise.,
L3149, Tonight., You promise?,
L3148, Okay til tonight., Tonight.,
L3147, I love you., Okay til tonight.,
L3146, Patronizing you... Nay I love you., I love you.,
L3145, Yeah.  I'll do that.  As long as you're not patronizing me., Patronizing you... Nay I love you.,
L3144, I promise.  We'll talk.  You'll be great.  You'll be fine.  Go ahead just imagine that uh... Just look into the lens and imagine you're talking to me., Yeah.  I'll do that.  As long as you're not patronizing me.,
L3143, Promise?, I promise.  We'll talk.  You'll be great.  You'll be fine.  Go ahead just imagine that uh... Just look into the lens and imagine you're talking to me.,
L3142, I'll tell you tonight.  Let's do it tonight.  As soon as you get back we'll talk.  We'll talk., Promise?,
L3141, No.  No listen to me here.  I want to know what you're talking about.  You know the shoe thing and the marriages and..., I'll tell you tonight.  Let's do it tonight.  As soon as you get back we'll talk.  We'll talk.,
L3140, No.  Go ahead.  You're gonna be great., No.  No listen to me here.  I want to know what you're talking about.  You know the shoe thing and the marriages and...,
L3139, Okay.  That is great.  But I can't go now we're in the middle of something here., No.  Go ahead.  You're gonna be great.,
L3138, Well that's great., Okay.  That is great.  But I can't go now we're in the middle of something here.,
L3137, Yeah., Well that's great.,
L3136, That's good., Yeah.,
L3135, Oh my G-d they want me to anchor.  They want me to anchor tonight!, That's good.,
L3130, Okay.  Okay.  Hold that thought just for a second.  They only call me when it's an emergency.  Just hold that thought.  Can you call back?, Oh my G-d they want me to anchor.  They want me to anchor tonight!,
L3129, Answer it., Okay.  Okay.  Hold that thought just for a second.  They only call me when it's an emergency.  Just hold that thought.  Can you call back?,
L3128, No.  Tell me what you want to say., Answer it.,
L3127, Answer the phone., No.  Tell me what you want to say.,
L3126, Don't worry about the damn phone.  I won't answer it., Answer the phone.,
L3121, Jesus.  And last week you came over with blood on your shoes.  What am I going to do with you?, Don't worry about the damn phone.  I won't answer it.,
L3120, Could be Leon's., Jesus.  And last week you came over with blood on your shoes.  What am I going to do with you?,
L3119, Look at this.  You have blood on your shirt.  Whose is it?, Could be Leon's.,
L3117, You're not so bad yourself., Look at this.  You have blood on your shirt.  Whose is it?,
L3116, You're ruthless., You're not so bad yourself.,
L3115, Well who was it that taught me how to do that?  Huh?, You're ruthless.,
L3114, You were merciless.  You didn't give a shit if you got me or not., Well who was it that taught me how to do that?  Huh?,
L3113, That was good.  You were holding the evidence., You were merciless.  You didn't give a shit if you got me or not.,
L3112, Yeah well you took the camera and put it right down on the evidence.  That was..., That was good.  You were holding the evidence.,
L3111, Yes you are.  I'm not just some reporter.  I don't just stick a microphone in your face.  You could give me something., Yeah well you took the camera and put it right down on the evidence.  That was...,
L3110, I'm not., Yes you are.  I'm not just some reporter.  I don't just stick a microphone in your face.  You could give me something.,
L3109, Alright alright Eddie.  Don't patronize me., I'm not.,
L3108, Maybe I should just ya know...turn to the cameras and say do you mind if we just work something out?, Alright alright Eddie.  Don't patronize me.,
L3107, Stop it., Maybe I should just ya know...turn to the cameras and say do you mind if we just work something out?,
L3106, Oh I'm sorry.  Did I embarrass you sweetheart?  Oh..., Stop it.,
L3105, You didn't have to embarrass me in front of my colleagues.  You could give me something., Oh I'm sorry.  Did I embarrass you sweetheart?  Oh...,
L3104, I can't...I can't answer you just because you want me to answer you!, You didn't have to embarrass me in front of my colleagues.  You could give me something.,
L3103, What is your problem?  Why'd you snap at me?  I just wanted a statement., I can't...I can't answer you just because you want me to answer you!,
L3102, Hey., What is your problem?  Why'd you snap at me?  I just wanted a statement.,
L3101, Hey honey., Hey.,
L3044, Okay., Hey honey.,
L3043, Alright., Okay.,
L3042, Alright., Alright.,
L3041, Alright?, Alright.,
L3040, Alright., Alright?,
L3039, Yeah.  Now's not a good time., Alright.,
L3038, Eddie are you okay?, Yeah.  Now's not a good time.,
L3037, Alright cut cut cut., Eddie are you okay?,
L3036, Um...now is not a good time okay. Detective Jackson's hurt.  He's fine. I've got a Fire Marshall shot Detective Jackson is hurt but not seriously., Alright cut cut cut.,
L3035, Do you have the suspect in custody?, Um...now is not a good time okay. Detective Jackson's hurt.  He's fine. I've got a Fire Marshall shot Detective Jackson is hurt but not seriously.,
L3034, He was hurt but not seriously.  He'll be fine., Do you have the suspect in custody?,
L3033, Okay.  But I do understand that your partner Leon Jackson's been injured. Is that correct?, He was hurt but not seriously.  He'll be fine.,
L3032, I really can't give out any information right now at this point., Okay.  But I do understand that your partner Leon Jackson's been injured. Is that correct?,
L3031, I understand but I noticed that the Fire Marshall is here with you.  Is this somehow related to the fire department?, I really can't give out any information right now at this point.,
L3030, I can't talk right now.  We have some things to take care of., I understand but I noticed that the Fire Marshall is here with you.  Is this somehow related to the fire department?,
L3029, Detective - can you tell us what happened here?, I can't talk right now.  We have some things to take care of.,
L2765, We don't know.  When I have more I'll let you know., Detective - can you tell us what happened here?,
L2764, Is it drug related?, We don't know.  When I have more I'll let you know.,
L2763, You know you can't do that.  C'mon., Is it drug related?,
L2762, Can we go up to the crime scene?, You know you can't do that.  C'mon.,
L2761, There are two bodies found at this point., Can we go up to the crime scene?,
L2760, How many victims are up there?, There are two bodies found at this point.,
L2759, We don't know that yet.  It's much too early.  There's a lot to be done., How many victims are up there?,
L2758, Detective does it look like a murder?, We don't know that yet.  It's much too early.  There's a lot to be done.,
L2665, Again?  I didn't wanna do it the first time., Detective does it look like a murder?,
L2664, Any chance we can do that again?, Again?  I didn't wanna do it the first time.,
L2656, Yeah yeah.  Jesus., Any chance we can do that again?,
L2655, Okay.  You ready?, Yeah yeah.  Jesus.,
L2654, Keep them out of my way., Okay.  You ready?,
L2653, Ready?, Keep them out of my way.,
L2652, You're worried for my safety.  I'm touched., Ready?,
L2651, I hope this prick doesn't run.  My knees are killing me.  Stay behind me., You're worried for my safety.  I'm touched.,
L2648, Yeah.  And he still went to the party., I hope this prick doesn't run.  My knees are killing me.  Stay behind me.,
L2647, That's unique., Yeah.  And he still went to the party.,
L2646, He's from Antigua.  His girlfriend was taking too long to put her make-up on. they were late for a party.  Stabbed her with a beer bottle., That's unique.,
L2645, Not what.  Who., He's from Antigua.  His girlfriend was taking too long to put her make-up on. they were late for a party.  Stabbed her with a beer bottle.,
L2644, So what's unique?, Not what.  Who.,
L2612, My kids?  Let's see...Susan's 15. Aundrea's 9.  Don't tell me you're thinking about having a kid!  How old are you?  Never mind. Let me just tell you this: Every stupid cliche you hear about kids - they change your life they make you a better person they make you whole...  It's all true!  Before I had kids when friends talked about their kids I wanted to vomit.  Now -- I get it.  Am I right Leon?, So what's unique?,
L2611, How old are your kids?, My kids?  Let's see...Susan's 15. Aundrea's 9.  Don't tell me you're thinking about having a kid!  How old are you?  Never mind. Let me just tell you this: Every stupid cliche you hear about kids - they change your life they make you a better person they make you whole...  It's all true!  Before I had kids when friends talked about their kids I wanted to vomit.  Now -- I get it.  Am I right Leon?,
L2607, I'm not moody., How old are your kids?,
L2606, I think you're getting a little moody there Eddie., I'm not moody.,
L2605, Not chopped up.  Not chopped up like that.  I mean what do I got left? Coupla articles.  A medal or two. Plaque here and there and in a coupla years no one remembers me anymore., I think you're getting a little moody there Eddie.,
L2604, Sooner or later that's everybody., Not chopped up.  Not chopped up like that.  I mean what do I got left? Coupla articles.  A medal or two. Plaque here and there and in a coupla years no one remembers me anymore.,
L2596, Jesus Christ., Sooner or later that's everybody.,
L2595, So we're waitin' to hit this warrant - we got Emergency Service with the heavy weapons standin' by - ready to go.  I say lemme get a cigar outta the car.  I go to get the cigar and BOOM!  All the sudden I turn around and a kid with a shotgun let one go.  Right where I was standin'.  That coulda been it.  I coulda had my head blown off and for what?  Some stupid kid got panicky takes the safety off and it's over.  If I hadn't gone back for that cigar - for a bad habit - I would've had my head blown off., Jesus Christ.,
L2628, No.  Are you proposing?, So we're waitin' to hit this warrant - we got Emergency Service with the heavy weapons standin' by - ready to go.  I say lemme get a cigar outta the car.  I go to get the cigar and BOOM!  All the sudden I turn around and a kid with a shotgun let one go.  Right where I was standin'.  That coulda been it.  I coulda had my head blown off and for what?  Some stupid kid got panicky takes the safety off and it's over.  If I hadn't gone back for that cigar - for a bad habit - I would've had my head blown off.,
L2627, Are you married?, No.  Are you proposing?,
L2626, Dog food., Are you married?,
L2625, And what do you do with the bones?, Dog food.,
L2624, You stuff sausage in it., And what do you do with the bones?,
L2623, You're a butcher?  What do you use pig intestines for?, You stuff sausage in it.,
L2622, I am butcher., You're a butcher?  What do you use pig intestines for?,
L2621, Okay.  You work in a vodka factory.  I understand that.  And what kind of work do you do?, I am butcher.,
L3286, Come alone.  Bring cash.  And we'll talk about surrendering., Okay.  You work in a vodka factory.  I understand that.  And what kind of work do you do?,
L3285, Wait a minute.  Wait a minute., Come alone.  Bring cash.  And we'll talk about surrendering.,
L3284, If you don't want my film - I'll call another show.  And they will show it., Wait a minute.  Wait a minute.,
L3283, What?  It doesn't work that way., If you don't want my film - I'll call another show.  And they will show it.,
L3282, We'll talk about that.  Four o'clock gives you time to go to bank.  Three hundred thousand dollars., What?  It doesn't work that way.,
L3281, I'll meet you on one condition - I get exclusivity and you surrender to me., We'll talk about that.  Four o'clock gives you time to go to bank.  Three hundred thousand dollars.,
L3280, No.  I'm the best that's ever threatened you., I'll meet you on one condition - I get exclusivity and you surrender to me.,
L3279, Look asshole.  I've been threatened by better than you., No.  I'm the best that's ever threatened you.,
L3278, Come to 45 Broadway.  Don't bring the Police.  Come alone or you'll be in my next film., Look asshole.  I've been threatened by better than you.,
L3556, If he doesn't lower his gun I'll fucking kill her., Come to 45 Broadway.  Don't bring the Police.  Come alone or you'll be in my next film.,
L3555, Let her go!  Let her go!!, If he doesn't lower his gun I'll fucking kill her.,
L3554, Tell him to put his gun down!, Let her go!  Let her go!!,
L3436, The Sheraton!  On Broadway!  Room 210. Go get Oleg.  He'll kill you., Tell him to put his gun down!,
L3435, Where's your partner?, The Sheraton!  On Broadway!  Room 210. Go get Oleg.  He'll kill you.,
L3434, Get down on your knees., Where's your partner?,
L3433, C'mon.  Pull the trigger.  Do it.  Oh look you're sweating.  You don't have the balls., Get down on your knees.,
L3432, You'll be my first., C'mon.  Pull the trigger.  Do it.  Oh look you're sweating.  You don't have the balls.,
L3431, You can't kill me.  You're not a cop. Just fireman with a gun.  I bet you never shot anybody in your life., You'll be my first.,
L3421, Tommy take a walk., You can't kill me.  You're not a cop. Just fireman with a gun.  I bet you never shot anybody in your life.,
L3420, My father was.  He gave me many lessons about fire.  Now it's my friend., Tommy take a walk.,
L3419, Were you a fireman?  That how you knew how to rig the apartment?, My father was.  He gave me many lessons about fire.  Now it's my friend.,
L2858, Alright alright - don't hurt me! Please it's in my book in my purse!, Were you a fireman?  That how you knew how to rig the apartment?,
L2857, Give me the address!!, Alright alright - don't hurt me! Please it's in my book in my purse!,
L2856, Look man I don't give a shit if you want sex or not but you're payin' for my time., Give me the address!!,
L2855, Listen to me.  I don't want sex.  Just give me the address and then you go., Look man I don't give a shit if you want sex or not but you're payin' for my time.,
L2854, Look.  Do we have a problem here? There's no reason to have a problem. I'm gonna make you feel real good.  You wanna Czech girl? After I'm done with you you won't miss her.  Now why don't you pay me?, Listen to me.  I don't want sex.  Just give me the address and then you go.,
L2853, I like to talk to the person who runs the service.  Can you give me address?, Look.  Do we have a problem here? There's no reason to have a problem. I'm gonna make you feel real good.  You wanna Czech girl? After I'm done with you you won't miss her.  Now why don't you pay me?,
L2852, That's confidential.  Could you put the money on the dresser?, I like to talk to the person who runs the service.  Can you give me address?,
L2851, Where is escort service?, That's confidential.  Could you put the money on the dresser?,
L2850, It's an outcall service run out of an apartment.  I don't meet the other girls.  Aren't you gonna get undressed?, Where is escort service?,
L2849, I ordered a Czech girl.  Daphne you know her?, It's an outcall service run out of an apartment.  I don't meet the other girls.  Aren't you gonna get undressed?,
L2848, Now I like to get business out of the way before we get down to pleasure.  Why don'tchya put my money on the dresser., I ordered a Czech girl.  Daphne you know her?,
L2847, Baby I'm anybody you want me to be. I'm a little schoolgirl I'm mommy I'm a Czech girl., Now I like to get business out of the way before we get down to pleasure.  Why don'tchya put my money on the dresser.,
L2846, Where's Czech girl?, Baby I'm anybody you want me to be. I'm a little schoolgirl I'm mommy I'm a Czech girl.,
L2845, Hi I'm Honey., Where's Czech girl?,
L2581, He doesn't speak English., Hi I'm Honey.,
L2580, I'd like to speak for himself okay?, He doesn't speak English.,
L2579, Two weeks., I'd like to speak for himself okay?,
L2578, How long are you planning to stay?, Two weeks.,
L2577, We are both from Prague., How long are you planning to stay?,
L2574, No you're travelling together.  I want to talk to you together.  Hi how are you?  Can I take a look at your documents?  Are you related?, We are both from Prague.,
L2573, Is there a problem?, No you're travelling together.  I want to talk to you together.  Hi how are you?  Can I take a look at your documents?  Are you related?,
L2572, Please join us.  Come on forward., Is there a problem?,
L2571, Yes., Please join us.  Come on forward.,
L2570, Is he with you?  Are you travelling together?, Yes.,
L2569, Can you show me?  Sir no cameras in the FIS area!, Is he with you?  Are you travelling together?,
L2568, I have five-hundred dollars., Can you show me?  Sir no cameras in the FIS area!,
L2567, How much money are you carrying with you?, I have five-hundred dollars.,
L2566, Two weeks holiday., How much money are you carrying with you?,
L2565, What is your intended purpose of your visit to the United States?, Two weeks holiday.,
L2564, Yes sir., What is your intended purpose of your visit to the United States?,
L2563, Next.  Could I see your documents please?, Yes sir.,
L2915, Yes.  Both., Next.  Could I see your documents please?,
L2914, Hey tabloids paid Ted Bundy - famous serial killer - half a million for his interview.  And how much you think Monica got for writing book about the President coming on to her?  It pays to be a killer or a whore in this country. Look you want magazine or not?, Yes.  Both.,
L2913, Million?!  The killer gets one million dollars for a television interview?, Hey tabloids paid Ted Bundy - famous serial killer - half a million for his interview.  And how much you think Monica got for writing book about the President coming on to her?  It pays to be a killer or a whore in this country. Look you want magazine or not?,
L2912, In here says he wants a million., Million?!  The killer gets one million dollars for a television interview?,
L2911, Do you know how much killer gets for movie rights?, In here says he wants a million.,
L2910, This all you want?, Do you know how much killer gets for movie rights?,
L2909, New York's finest.  This is his case., This all you want?,
L2908, Who is he?, New York's finest.  This is his case.,
L3548, No.  You are the traitor.  You are murderer.  I am director.  Action!, Who is he?,
L3547, Traitor!!, No.  You are the traitor.  You are murderer.  I am director.  Action!,
L3378, You think you are a director?  You are a fucking little small Russian piece of shit.  And I hate you.  I fucking hate you., Traitor!!,
L3377, No I don't get that!, You think you are a director?  You are a fucking little small Russian piece of shit.  And I hate you.  I fucking hate you.,
L3376, You got that?, No I don't get that!,
L3375, Yes.  But there's only one problem - you want credit but the problem is - I don't share credit., You got that?,
L3374, Yes.  Before we hand in the next video - I put titles on it and my credit is going to read - Directed by Oleg Razgul., Yes.  But there's only one problem - you want credit but the problem is - I don't share credit.,
L3373, Credit?, Yes.  Before we hand in the next video - I put titles on it and my credit is going to read - Directed by Oleg Razgul.,
L3372, I'm serious...this - this is a great American film.  Full of violence and sex.  And I want my credit., Credit?,
L3370, Your idea?  I thought it was my idea., I'm serious...this - this is a great American film.  Full of violence and sex.  And I want my credit.,
L3369, Because I am the director.  Don't you realize if it wasn't for my film for my talent my idea to do this - no way would we be sitting here right now., Your idea?  I thought it was my idea.,
L3368, Why did you leave that stuff in about you being the director?, Because I am the director.  Don't you realize if it wasn't for my film for my talent my idea to do this - no way would we be sitting here right now.,
L3366, Be quiet.  Watch., Why did you leave that stuff in about you being the director?,
L3365, I told you to cut that out before we handed in the tape!, Be quiet.  Watch.,
L3364, Bad last moment - I cut it out., I told you to cut that out before we handed in the tape!,
L3363, This is my project.  I say 'action.'  I am the director!  You are the talent. You wait for me to say 'action.'  And 'action!', Bad last moment - I cut it out.,
L3362, Shut up.  Look!, This is my project.  I say 'action.'  I am the director!  You are the talent. You wait for me to say 'action.'  And 'action!',
L3361, I'm serious., Shut up.  Look!,
L3360, The one who got caught in the bathroom.  George Michael., I'm serious.,
L3359, In movie they make of us who do you think would act me?, The one who got caught in the bathroom.  George Michael.,
L3357, Oleg don't be paranoid.  You got a hundred-fifty thousand dollars didn't you?  I gave you half of what they gave me.  Look - here we are!, In movie they make of us who do you think would act me?,
L3356, You are success story?  I am success story!  Why do you say I and not we?, Oleg don't be paranoid.  You got a hundred-fifty thousand dollars didn't you?  I gave you half of what they gave me.  Look - here we are!,
L3251, Cut!, You are success story?  I am success story!  Why do you say I and not we?,
L3250, Okay.  He has nothing to say.  Start the camera!, Cut!,
L3247, Good idea!, Okay.  He has nothing to say.  Start the camera!,
L3246, No.  We are insane.  Who else but crazy men would film their murders?  So we kill someone famous and if we are caught we are sent to mental hospital. But what good is money there?  Because once in hospital I say I not crazy. Just pretended to be acquitted.  We see psychiatrists.  They must certify we are sane and because of your - what is law called?  Oh - I got it.  Because of your Double Jeopardy law we can't be tried for same crime twice.  We come out free rich and famous!, Good idea!,
L3193, This way.  Hold it this way.  Good., No.  We are insane.  Who else but crazy men would film their murders?  So we kill someone famous and if we are caught we are sent to mental hospital. But what good is money there?  Because once in hospital I say I not crazy. Just pretended to be acquitted.  We see psychiatrists.  They must certify we are sane and because of your - what is law called?  Oh - I got it.  Because of your Double Jeopardy law we can't be tried for same crime twice.  We come out free rich and famous!,
L3192, Sit down!, This way.  Hold it this way.  Good.,
L3191, Let me get a shot of it., Sit down!,
L3190, What does it look like?  It's an address book!, Let me get a shot of it.,
L3189, What is that?, What does it look like?  It's an address book!,
L3188, Put the camera down Oleg., What is that?,
L3187, Why not?, Put the camera down Oleg.,
L3186, And the whore's murder?  You didn't erase that either did you?  Don't lie I won't be angry., Why not?,
L3185, I did., And the whore's murder?  You didn't erase that either did you?  Don't lie I won't be angry.,
L3184, The video of Milos and Tamina - I told you to erase it., I did.,
L3183, What is it?, The video of Milos and Tamina - I told you to erase it.,
L3088, Don't want to film this?, What is it?,
L3087, Oh shit.  I hate looking at that!, Don't want to film this?,
L3085, Does it hurt?, Oh shit.  I hate looking at that!,
L3084, Shut up., Does it hurt?,
L3083, Gotta light the scene better.  Now it's more moody... like a scene from THE THIRD MAN., Shut up.,
L2844, Oleg get in bathroom stay there and shut up!, Gotta light the scene better.  Now it's more moody... like a scene from THE THIRD MAN.,
L2843, Whatever we do - we fuck her right?, Oleg get in bathroom stay there and shut up!,
L2842, Get in the bathroom!, Whatever we do - we fuck her right?,
L2790, I'm homesick.  You have Eastern European girl?  A Czech girl?, Get in the bathroom!,
L2789, Whore?, I'm homesick.  You have Eastern European girl?  A Czech girl?,
L2783, I'll do it.  Don't hurt my camera!, Whore?,
L2782, How you erase this?, I'll do it.  Don't hurt my camera!,
L2781, You said speak Czech!, How you erase this?,
L2780, Speak English!, You said speak Czech!,
L2779, I'm not filming.  I'm watching Milos die.  It's just like a move but realer., Speak English!,
L2778, Turn that fucking thing off!, I'm not filming.  I'm watching Milos die.  It's just like a move but realer.,
L2671, Smell like chemicals...for smoking drugs., Turn that fucking thing off!,
L2670, What?, Smell like chemicals...for smoking drugs.,
L2668, For five years I paid for your stupidness - you'll carry my bag for the rest of my life if I say so.  Unless you refuse Oleg., What?,
L2667, Why should I carry your bag?  I am not a dog., For five years I paid for your stupidness - you'll carry my bag for the rest of my life if I say so.  Unless you refuse Oleg.,
L2666, Turn that off!  Get the bags., Why should I carry your bag?  I am not a dog.,
L2640, We have no money.  Come on., Turn that off!  Get the bags.,
L2639, Look.  New videocameras.  Color viewfinder.  Image stabilization. Solarization.  Night vision., We have no money.  Come on.,
L2638, Because I don't like your ugly language. I heard enough of it in school!  Now speak Czech or English.  And don't fool around anymore.  You almost got us thrown out!, Look.  New videocameras.  Color viewfinder.  Image stabilization. Solarization.  Night vision.,
L2637, Why?  Why do I always have to speak to you in Czech?, Because I don't like your ugly language. I heard enough of it in school!  Now speak Czech or English.  And don't fool around anymore.  You almost got us thrown out!,
L2636, Don't speak Russian!, Why?  Why do I always have to speak to you in Czech?,
L2635, Look.  Times Square.  Just like in the movies!, Don't speak Russian!,
L2562, I want to document my trip to America., Look.  Times Square.  Just like in the movies!,
L2561, Did you hear what I said?, I want to document my trip to America.,
L2560, Okay., Did you hear what I said?,
L2559, Don't fool around., Okay.,
L2558, Okay., Don't fool around.,
L2557, Just do what I do.  Say the same thing I say.  Don't open your mouth., Okay.,
L2692, You spent all the money while I was in prison?  Now you tell me to get a job fixing toilets?!?, Just do what I do.  Say the same thing I say.  Don't open your mouth.,
L2691, We started over you can too., You spent all the money while I was in prison?  Now you tell me to get a job fixing toilets?!?,
L2690, A job??  As a plumber???  You think I come to America to work!, We started over you can too.,
L2689, It's easy to learn., A job??  As a plumber???  You think I come to America to work!,
L2688, As a plumber?!, It's easy to learn.,
L2687, Yes the money is good., As a plumber?!,
L2686, A job?, Yes the money is good.,
L2685, I can get you a job., A job?,
L2682, Look at the way we live.  I'm a plumber. You think I'd be working if I had money?!, I can get you a job.,
L2681, Ha. Ha., Look at the way we live.  I'm a plumber. You think I'd be working if I had money?!,
L2680, We spent it!, Ha. Ha.,
L2679, Milos.  Get my money!, We spent it!,
L2678, Take your eyes off her Oleg!  Look.  It wasn't my fault you two were caught.  It's his fault.  Trying to get the bank clerk's phone number?!  I wasn't going to wait!!!, Milos.  Get my money!,
L2676, You know me...I never hurt anybody. Where's the money?, Take your eyes off her Oleg!  Look.  It wasn't my fault you two were caught.  It's his fault.  Trying to get the bank clerk's phone number?!  I wasn't going to wait!!!,
L2675, Did you hurt her?, You know me...I never hurt anybody. Where's the money?,
L2674, Your sister said she didn't know where you were so you shouldn't write to her with return address if you're hiding., Did you hurt her?,
L2673, Surprise!  Surprise!, Your sister said she didn't know where you were so you shouldn't write to her with return address if you're hiding.,
L2672, Emil???!, Surprise!  Surprise!,
L3353, You want the tape?  There it is!, Emil???!,
L3352, Viewer discretion advised!, You want the tape?  There it is!,
L3275, Trust me you'll want to take this call., Viewer discretion advised!,
L3274, I can't talk to anybody right now can't you see I'm busy!  I can't talk business.  Hang up.  Have a drink.  Get her a whiskey., Trust me you'll want to take this call.,
L3273, You've got a call., I can't talk to anybody right now can't you see I'm busy!  I can't talk business.  Hang up.  Have a drink.  Get her a whiskey.,
L3272, What are you doing here?, You've got a call.,
L3271, Robert...?, What are you doing here?,
L3413, Don't give me that fucking shit., Robert...?,
L3412, If I didn't put it on somebody else would!  I was his friend!, Don't give me that fucking shit.,
L3411, You outta be ashamed.  Ashamed of yourself., If I didn't put it on somebody else would!  I was his friend!,
L3410, This footage will work in your favor. When the jury sees this - no matter what Cutler tries they'll convict him., You outta be ashamed.  Ashamed of yourself.,
L3409, And you you'll pay for what you did!, This footage will work in your favor. When the jury sees this - no matter what Cutler tries they'll convict him.,
L2615, Paulie you've got kids right?, And you you'll pay for what you did!,
L2614, Yeah?, Paulie you've got kids right?,
L2610, In love?  With who?, Yeah?,
L2609, Of course he's moody.  He thinks he's in love., In love?  With who?,
L2608, Isn't he a little moody?, Of course he's moody.  He thinks he's in love.,
L3269, Oh my G-d.  We were having lunch here. He started making overtures - talking about little shoes next to his in his closet but I got a call to anchor - and I walked out on him.  I walked out on him when he was trying to ask me to marry him!!, Isn't he a little moody?,
